//<Version>ODV Spreadsheet V4.0</Version>
//<Creator>tremenyi@SCLS-SPN-14234.local</Creator>
//<CreateTime>2012-05-13T08:32:49</CreateTime>
//<Software>Ocean Data View Version 4.3.5 - 2010</Software>
//<Source>/Users/tremenyi/Documents/ODV/data/SAZSENSE/SAZSENSE_TM_20120209.odv</Source>
//<SourceLastModified>2012-05-04T12:51:19</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>GeneralType</DataType>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth	Depth	Al	Co	Ni	Cu	Zn	Cd	Pb	Fe
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	300.000	0.438	39.300	7.070	1.494	6.420	892.700	29.100	0.380
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	500.000	0.108	36.200	7.250	1.756	7.900	900.400	12.100	0.360
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	700.000	0.174	34.400	7.310	1.793	7.430	838.600	18.900	0.370
AA0307	6a	B	0007-02-01T08:53	145.9200	-53.990	1000	1000.000	0.300	27.400	6.950	1.772	7.140	739.700	20.600	0.380
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	15.000	0.545	25.200	4.840	0.662	1.050	169.100	15.700	0.140
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	25.000	0.449	23.300	4.800	0.626	1.980	191.700	35.800	0.160
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	40.000	0.410	28.200	5.000	0.640	1.770	182.200	22.600	0.160
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	60.000	0.237	27.500	4.980	0.619	2.260	207.800	17.400	0.170
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	75.000	0.606	28.200	4.950	0.589	1.990	195.300	18.900	0.170
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	100.000	0.107	28.100	4.700	0.566	3.230	267.100	22.300	0.160
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	125.000	0.375	27.400	4.800	0.543	3.380	358.000	26.000	0.170
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	150.000	0.097	32.400	4.870	0.577	3.230	368.200	36.700	0.160
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	175.000	0.361	28.800	4.780	0.610	3.310	337.300	36.400	0.170
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	200.000	0.523	29.100	4.980	0.685	1.740	363.000	18.500	0.170
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	225.000	0.161	34.700	5.690	0.681	1.600	384.400	26.300	0.150
AA0307	9	B	0007-02-08T06:52	148.6500	-50.880	250	250.000	0.316	39.000	5.670	0.758	1.920	380.000	24.300	0.150
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	15.000	0.690	23.400	4.130	0.675	0.750	81.800	12.000	0.240
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	25.000	0.449	20.900	4.050	0.674	0.680	80.500	13.100	0.240
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	40.000	0.132	20.800	4.030	0.678	0.580	95.700	7.400	0.240
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	60.000	0.715	15.200	3.840	0.640	0.180	87.700	11.600	0.240
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	75.000	0.268	21.700	3.930	0.640	1.040	112.500	12.300	0.240
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	100.000	0.334	27.500	3.940	0.629	0.800	222.900	17.500	0.330
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	125.000	0.347	28.200	3.850	0.583	1.670	229.100	14.500	0.130
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	150.000	0.587	29.800	3.880	0.537	1.380	222.500	15.500	0.160
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	175.000	2.473	22.700	3.510	0.577	1.630	192.800	18.300	0.170
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	200.000	1.951	25.100	3.580	0.583	0.630	188.200	14.700	0.160
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	225.000	1.135	25.000	3.850	0.620	0.530	187.200	22.100	0.140
AA0307	10	B	0007-02-09T00:45	149.4300	-49.990	250	250.000	0.324	29.500	3.750	0.574	0.510	177.100	33.700	0.160
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	15.000	0.672	9.000	3.640	0.471	0.320	14.500	12.900	0.150
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	25.000	0.565	7.300	3.710	0.468	0.930	8.800	15.100	0.210
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	40.000	0.192	9.800	3.560	0.445	0.240	9.500	13.600	0.160
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	60.000	1.023	10.200	3.710	0.442	0.440	7.600	13.600	0.190
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	75.000	0.593	13.800	3.860	0.524	1.270	58.800	16.100	0.220
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	100.000	1.041	22.700	4.150	0.554	0.660	106.800	19.300	0.180
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	125.000	1.592	26.900	4.100	0.531	0.920	149.400	13.900	0.140
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	150.000	0.392	25.100	4.170	0.541	0.950	139.800	18.400	0.110
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	175.000	0.673	31.100	4.210	0.595	1.080	162.100	21.700	0.120
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	200.000	2.399	32.200	4.350	0.599	0.460	167.700	17.600	0.140
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	225.000	0.847	30.000	4.220	0.576	0.510	186.100	17.900	0.160
AA0307	12	B	0007-02-10T03:05	151.1900	-48.080	250	250.000	1.285	31.600	4.280	0.561	0.520	192.300	17.200	0.160
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	15.000	4.740	7.100	3.250	0.338	0.240	18.600	14.800	0.400
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	25.000	4.775	7.000	3.270	0.357	0.650	25.400	17.000	0.400
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	50.000	3.031	6.200	3.280	0.393	0.470	22.100	19.300	0.380
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	75.000		14.000	3.750	0.464	0.770	50.400	20.400	0.360
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	100.000	6.894	22.100	3.850	0.505	1.230	103.000	24.900	0.310
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	150.000	3.174	27.200	4.030	0.478	1.160	166.100	30.700	0.270
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	200.000	4.292	27.600	4.050	0.455	2.760	214.500	20.100	0.300
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	300.000	4.537	34.900	4.290	0.517	1.930	233.200	29.900	0.290
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	500.000	5.563	31.200	4.520	0.563	2.120	285.200	36.900	0.300
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	700.000	5.457	29.800	5.460	0.651	3.110	421.100	18.100	0.290
AA0307	17b	B	0007-02-11T15:15	153.1700	-45.560	1000	1000.000	4.421	33.600	6.450	0.980	3.130	608.800	24.900	0.310
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	15.000	0.808	5.200	2.980	0.404	0.710	18.800	21.200	0.440
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	25.000	1.192	6.900	3.060	0.377	1.170	4.000	20.200	0.400
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	50.000	0.983	11.500	3.270	0.463	0.970	29.500	30.300	0.430
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	75.000	1.414	15.100	3.440	0.472	2.690	42.500	23.500	0.390
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	100.000	1.562	19.500	3.520	0.499	2.460	61.800	28.500	0.410
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	150.000	1.355	19.800	3.560	0.506	1.470	86.400	34.300	0.360
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	200.000	2.824	25.500	3.670	0.538	0.480	124.600	19.700	0.330
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	300.000	0.835	26.700	4.110	0.600	0.570	176.500	24.900	0.340
AA0307	19	B	0007-02-13T19:05	153.2700	-45.100	500	500.000	2.190	29.100	4.450	0.672	0.860	234.900	25.300	0.350
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	15.000	1.790	6.600	3.000	0.354	0.300	4.800	13.200	0.630
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	25.000	0.280	11.000	3.110	0.389	0.290	7.300	13.300	0.610
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	50.000	0.261	13.500	3.260	0.452	0.270	7.100	16.100	0.690
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	75.000	1.102	16.100	3.340	0.447	0.460	25.200	18.000	0.560
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	100.000	0.909	20.600	3.400	0.494	1.470	41.300	18.400	0.520
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	125.000	0.618	18.100	3.530	0.460	0.530	62.400	22.200	0.480
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	150.000	1.011	23.300	3.630	0.442	3.860	79.400	23.300	0.510
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	200.000	1.816	25.700	3.780	0.482	3.430	132.200	22.700	0.540
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	300.000	1.108	25.200	4.070	0.549	2.390	182.100	25.700	0.520
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	500.000	1.451	33.600	4.490	0.644	0.940	257.700	16.400	0.510
AA0307	21	B	0007-02-14T14:40	152.4900	-44.940	700	700.000	1.208	33.600	5.060	0.755	1.350	382.200	21.100	0.370
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	15.000	0.594	8.400	3.480	0.403	0.100	6.400	13.700	0.580
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	25.000	2.450	8.800	3.390	0.401	0.350	7.000	12.300	0.530
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	50.000	1.199	7.300	3.610	0.466	0.160	16.500	12.200	0.480
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	75.000	0.847	20.400	4.080	0.561	0.140	71.500	18.000	0.480
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	100.000	0.205	22.700	4.100	0.566	0.730	93.900	18.200	0.410
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	150.000	2.365	30.000	4.200	0.604	0.900	157.000	25.200	0.380
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	200.000	1.150	29.900	4.220	0.567	1.100	197.200	17.600	0.420
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	300.000	0.955	32.900	4.370	0.627	0.890	236.300	18.300	0.380
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	500.000	0.349	35.700	4.770	0.675	1.200	275.700	23.600	0.420
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	700.000	0.764	34.500	5.630	0.884	1.430	484.200	16.600	0.360
AA0307	17j	B	0007-02-17T01:15	153.7200	-45.580	1000	1000.000	0.954	32.800	6.560	1.139	2.910	648.500	16.400	0.320
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	15.000	3.546	14.000	2.530	0.413	1.210	4.200	28.900	0.360
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	25.000	3.020	15.700	2.560	0.395	1.890	18.300	35.700	0.340
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	50.000	4.804	9.900	2.710	0.395	1.940	14.000	32.800	0.280
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	75.000	3.376	11.200	2.900	0.424	1.630	16.900	31.600	0.270
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	100.000	5.365	15.300	2.950	0.487	2.560	48.800	34.100	0.280
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	150.000	4.154	18.300	3.240	0.517	1.570	68.900	38.800	0.280
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	200.000	2.886	15.700	3.350	0.443	5.840	80.700	19.800	0.300
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	300.000	6.100	22.200	3.480	0.530	2.370	117.900	31.300	0.280
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	500.000	4.682	29.300	4.250	0.643	3.010	244.600	39.300	0.300
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	700.000	4.713	25.600	5.060	0.729	2.290	353.500	19.100	0.320
AA0307	23	B	0007-02-18T17:30	150.2000	-44.240	1000	1000.000	4.809	28.100	6.030	0.992	3.660	561.400	27.800	0.290
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	15.000	5.590	14.200	2.510	0.372	2.160	-6.200	32.200	0.200
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	25.000	6.268	8.500	2.550	0.385	1.800	5.100	34.200	0.200
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	50.000	7.343	15.200	2.840	0.929	1.440	-4.600	30.600	0.200
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	75.000	5.256	11.300	2.700	0.303	0.370	1.400	29.300	0.160
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	100.000	4.867	13.600	2.810	0.414	1.320	10.000	28.800	0.200
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	150.000	5.130	20.000	3.080	0.388	1.160	54.000	34.400	0.190
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	200.000	5.606	23.900	3.190	0.384	3.930	57.200	26.900	0.190
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	300.000	7.075	20.800	3.450	0.528	4.080	107.000	36.600	0.180
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	500.000	5.141	25.600	4.040	0.600	3.620	226.300	36.800	0.230
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	700.000	5.717	25.800	4.700	0.696	4.930	334.400	21.600	0.270
AA0307	24	B	0007-02-19T16:45	148.5800	-43.690	1000	1000.000	5.147	25.600	5.810	0.945	3.120	555.400	23.200	0.260
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	8.959								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	8.980								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	20.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	30.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	48.087								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	48.298								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	60.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	70.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	80.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	98.906								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	99.115								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	110.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	120.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	130.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	140.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	150.197								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	150.567								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	162.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	172.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	182.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	198.301								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	198.604								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	210.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	220.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	230.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	249.494								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	260.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	270.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	280.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	290.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	301.672								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	312.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	322.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	332.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	342.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	352.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	362.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	372.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	382.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	401.822								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	412.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	422.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	432.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	442.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	452.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	462.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	472.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	482.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	500.324								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	512.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	524.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	536.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	548.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	560.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	572.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	584.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	600.285								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	614.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	628.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	642.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	656.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	670.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	684.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	701.882								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	718.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	734.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	750.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	766.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	782.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	798.982								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	816.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	834.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	852.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	870.000								
au0703	1	B	2007-01-19T12:03:09.000	144.7352	-43.841	3176	898.327								
